PMCID,Publication_Date,DOI,Title
PMC12951423,2026 Mar 2,10.3171/CASE25585,Intraoperative seizure in the setting of tumor resection: illustrative cases.
PMC12855477,2025,10.3389/fmed.2025.1695970,"Effects of different ventilation modes on intra-abdominal pressure and postoperative nausea and vomiting during anesthesia: a single-blind, randomized controlled trial."
PMC12713886,2024,10.3389/frsle.2024.1373489,Rett syndrome: a review of clinical manifestations and therapeutic approaches.
PMC12602541,2025,10.3389/fmed.2025.1709710,The role of pulmonary rehabilitation in severe asthma: a comprehensive review.
PMC12481593,2025,10.2174/0118743064372550250603061720,GLP-1 Agonists and the Risk of Pulmonary Aspiration during Elective Upper Endoscopy: A Systematic Review and Meta-analysis.
PMC12386840,2025 Aug 13,10.3390/ijms26167812,"Vagal Oxytocin Receptors as Molecular Targets in Gut-Brain Signaling: Implications for Appetite, Satiety, Obesity, and Esophageal Motility-A Narrative Review."
PMC12293099,2025 Jun 30,10.3390/children12070869,Sleep Disorders in Children with Rett Syndrome.
PMC12125850,2025 May 31,10.1186/s12877-025-05934-5,Clinical features and risk factors of older adults with bloodstream infection.
PMC12093792,2025,10.1080/20018525.2025.2506237,Psychological intervention in severe asthma: from theory to practice.
PMC11999984,2024,10.3389/fphys.2024.1394109,The Breathing IQ: an anthropometric index of diaphragmatic breathing efficiency.
PMC11989668,2025 Mar 29,10.3390/jcm14072353,"Dysfunctional Breathing, in COPD: A Validation Study."
PMC11380557,2024,10.3389/fnut.2024.1422431,Therapeutic potential of ghrelin/GOAT/GHSR system in gastrointestinal disorders.
PMC10156478,2022,10.5114/ait.2022.113488,The effect of non-invasive ventilation on intra-abdominal pressure.
PMC8977342,2022,10.1155/2022/4145810,Efficacy of Endoscopic Radiofrequency Ablation for Treatment of Reflux Hypersensitivity: A Study Based on Rome IV Criteria.
PMC8817862,2022,10.1155/2022/1395958,Application of Precise Positioning for Sputum Expectoration in ICU Patients with Pulmonary Infection.
PMC8735259,2022,10.1590/0102-672020210003e1606,SHORTEN PREOPERATIVE FASTING AND INTRODUCING EARLY EATING ASSISTANCE IN RECOVERY AFTER GASTROJEJUNAL BYPASS?
PMC8522820,2018,10.34763/devperiodmed.20182204.329340,[Chronic cough in children].
PMC8404600,2021 Jul-Sep,10.4103/aca.ACA_16_20,A prospective study on use of thrive (transnasal humidified rapid insufflation ventilatory exchange) versus conventional nasal oxygenation following extubation of adult cardiac surgical patients.
PMC8271978,2021 Jun 28,10.3390/molecules26133929,Capsaicin-Sensitive Vagal Afferent Nerve-Mediated Interoceptive Signals in the Esophagus.
PMC8126484,2021 Jun 1,10.1249/MSS.0000000000002581,High Prevalence of Exercise-induced Laryngeal Obstruction in a Cohort of Elite Cross-country Skiers.
PMC8101921,2021,10.1371/journal.pone.0251231,Assessment of the gut bacterial microbiome and metabolome of girls and women with Rett Syndrome.
PMC7896240,2021 Feb,10.4103/1673-5374.290883,Altered physiology of gastrointestinal vagal afferents following neurotrauma.
PMC7578481,2020 Sep,10.21037/jtd-2020-icc-005,Methods for assessing cough sensitivity.
PMC6997562,2020,10.1016/j.rmcr.2020.101004,An unusual cause of exertional dyspnea in a 55 years old man.
PMC6855058,2019,10.1155/2019/9043151,Gentle Manual Acupuncture Could Better Regulate Gastric Motility and Vagal Afferent Nerve Discharge of Rats with Gastric Hypomotility.
PMC6418764,2019 Mar,10.1113/JP277195,A novel role for the extracellular matrix glycoprotein-Tenascin-X in gastric function.
PMC5374747,2017 Apr,10.1097/JOM.0000000000000966,Paresthesias Among Community Members Exposed to the World Trade Center Disaster.
PMC5117039,2015,10.1136/bmjsem-2015-000065,Eucapnic voluntary hyperpnoea and exercise-induced vocal cord dysfunction.
PMC5036831,2016,10.2147/CEG.S111820,Ineffective esophageal motility and the vagus: current challenges and future prospects.
PMC3429051,2012,10.3389/fphys.2012.00277,Upper gastrointestinal dysmotility after spinal cord injury: is diminished vagal sensory processing one culprit?
PMC154116,2003 Feb,10.1186/cc1856,Esophageal capnometry during hemorrhagic shock and after resuscitation in rats.
PMC138812,2002 Dec 3,10.1186/1471-2431-2-11,Hypnosis in pediatrics: applications at a pediatric pulmonary center.
