PMCID,Publication_Date,DOI,Title
PMC12908923,2026,10.3389/fgene.2026.1770067,Cross-trait genetic enrichment between GERD and psychiatric disorders in East Asian populations.
PMC12895643,2026 Jan 19,10.1186/s12888-026-07816-5,Unraveling the genetic interplay and therapeutic potentials between major depressive disorder and metabolic syndrome: multi-ancestry and multi-trait genome-wide association analyses.
PMC12858809,2025 Dec 29,10.1038/s41467-025-67941-9,Leveraging genomic and transcriptomic data of diverse ancestry to uncover mechanisms of psychiatric risk in the adult and developing brain.
PMC12775895,2026 Jan,10.1111/tmi.70051,Causal Relationships Between Major Depressive Disorder and Coronary Artery Disease Across Diverse Populations: A Bidirectional Mendelian Randomisation Study.
PMC12708836,2026 Jan,10.1038/s41386-025-02269-y,Integrating multi-polygenic scores for enhanced prediction of antidepressant treatment outcomes in an East Asian population.
PMC12695707,2025,10.2147/JPR.S553378,No Evidence for a Causal Association Between Depression and Herpes Zoster or Post-Herpetic Neuralgia: A Mendelian Randomization Study.
PMC12593751,2025 Oct,10.31083/AP47646,Genetic Insights Into Skin Diseases and Depression: Evidence From East Asian Mendelian Randomization Analysis.
PMC12494825,2026 Jan 15,10.1016/j.xhgg.2025.100500,Genetics of SSRI antidepressant use and relationship to psychiatric and medical traits.
PMC12207131,2025,10.1136/gpsych-2024-101900,Reassessing the relationship between major depressive disorder and blood lipids: a comprehensive Mendelian randomisation study.
PMC11957178,2025 Mar 20,10.1101/2025.03.19.25324246,Genetic Determinants Of Major Depressive Disorder (MDD) Among Adult Persons Living With HIV In Uganda.
PMC11667043,2024 Dec,10.1016/j.eclinm.2024.102956,Genetic vulnerability and adverse mental health outcomes following mild traumatic brain injury: a meta-analysis of CENTER-TBI and TRACK-TBI cohorts.
PMC11649553,2025 Jan,10.1038/s41380-024-02662-x,Polygenic prediction of major depressive disorder and related traits in African ancestries UK Biobank participants.
PMC11366827,2024 Sep,10.1002/brb3.3642,Risk of Parkinson's disease and depression severity in different populations: A two-sample Mendelian randomization analysis.
PMC10889049,2024 Feb 9,10.21203/rs.3.rs-3894892/v1,"Clinical, genomic, and neurophysiological correlates of lifetime suicide attempts among individuals with alcohol dependence."
PMC10793522,2023 Dec 28,10.1101/2023.12.24.23300412,Polygenic prediction of major depressive disorder and related traits in African ancestries UK Biobank participants.
PMC10780813,2023 Dec 26,10.3390/nu16010079,A Positive Causal Effect of Shrimp Allergy on Major Depressive Disorder Mediated by Allergy- and Immune-Related Pathways in the East Asian Population.
PMC10635214,2023 Oct 28,10.1101/2023.10.27.23297674,Allostatic load in early adolescence: gene / environment contributions and relevance for mental health.
PMC8404304,2021 Jul,10.1038/s41593-021-00860-2,Bi-ancestral depression GWAS in the Million Veteran Program and meta-analysis in >1.2 million individuals highlight new therapeutic directions.
PMC8164961,2021 May,10.1038/s41380-020-00996-w,"Polygenic risk for autism, attention-deficit hyperactivity disorder, schizophrenia, major depressive disorder, and neuroticism is associated with the experience of childhood abuse."
PMC6336846,2019 Jan 17,10.1038/s41398-018-0340-2,Genetic associations with suicide attempt severity and genetic overlap with major depression.
PMC6129221,2018 Nov,10.1038/s41380-018-0033-5,Genome-wide analysis of insomnia disorder.
PMC6081446,2018 Aug 7,10.1038/s41398-018-0211-x,Genetic association and meta-analysis of a schizophrenia GWAS variant rs10489202 in East Asian populations.
PMC6045574,2018 Jul 13,10.1038/s41398-018-0184-9,The major depressive disorder GWAS-supported variant rs10514299 in TMEM161B-MEF2C predicts putamen activation during reward processing in alcohol dependence.
PMC5696105,2018 Mar,10.1038/mp.2017.77,Largest GWAS of PTSD (N=20 070) yields genetic overlap with schizophrenia and sex differences in heritability.
PMC5404611,2017 Mar 28,10.1038/tp.2016.292,Genetic effects influencing risk for major depressive disorder in China and Europe.
PMC5308202,2017 Feb 14,10.1038/sdata.2017.11,"11,670 whole-genome sequences representative of the Han Chinese population from the CONVERGE project."
PMC4983546,2016,10.3389/fgene.2016.00149,Associations between Polygenic Risk for Psychiatric Disorders and Substance Involvement.
