PMCID,Publication_Date,DOI,Title
PMC13023908,2026 Mar,10.3390/brainsci16030268,Association Between GRIN1 rs28489906 and Major Depressive Disorder and Treatment Response to Antidepressants in Patients with Type 2 Diabetes.
PMC13005412,2026 Feb 13,10.1186/s13293-026-00849-1,Sex differences in AMPA receptor trafficking proteins.
PMC12997050,2026,10.3389/fncel.2026.1776649,From metabolism to mood regulation: astrocytes as a driver of depression.
PMC12996905,2026 Mar 7,10.1093/schbul/sbaf079,A Longitudinal Assessment of Anterior Cingulate Cortex Gamma-aminobutyric Acid in Antipsychotic Medication-naïve First Episode Psychosis Patients.
PMC12991375,2026,10.2147/NDT.S586583,Parameter-Specific Effects of Low-Intensity Transcranial Focused Ultrasound Stimulation on Depression-Like Behaviors in a CUMS Mouse Model.
PMC12982605,2026 Mar 12,10.1038/s44184-026-00197-3,"A multi-omics analysis of gut bacteriome, virome, and serum metabolome in bipolar depression."
PMC12961309,2026,10.1162/IMAG.a.1147,The Virtual Brain links transcranial magnetic stimulation evoked potentials and inhibitory neurotransmitter changes in major depressive disorder.
PMC12946017,2026,10.3389/fpsyt.2026.1736206,Metabolomics biomarkers for precision psychiatry.
PMC12940327,2026 Feb 11,10.3390/ijms27041749,"Metabolic Mechanisms in Electroconvulsive Therapy for Schizophrenia: Role, Potential and Future Directions."
PMC12925689,2026 Jan 29,10.1192/j.eurpsy.2026.10157,Is the antidepressant efficacy of ketamine and esketamine mediated via opioid mechanisms?
PMC12914551,2026,10.1016/j.nicl.2026.103959,Neurometabolics of the anterior cingulate cortex (ACC) in major depressive disorder (MDD): A systematic review and meta-analysis.
PMC12913925,2026 Jan 30,10.1038/s41598-026-37634-4,Neurotransmitter alterations in seasonal affective disorder.
PMC12908078,2026 Mar,10.1016/j.xjmad.2026.100168,Reconsidering the glutamate hypothesis of obsessive-compulsive disorder: A systematic review of proton magnetic resonance spectroscopy studies in unmedicated participants.
PMC12901960,2026,10.17179/excli2025-8918,Metabolic profiling reveals potential biomarkers and underlying signaling pathways involved in mindfulness-based cognitive therapy-improved adolescent depression symptoms.
PMC12892002,2026,10.1093/psyrad/kkaf034,γ-Aminobutyric acid and glutamate dysregulation in the dorsolateral prefrontal cortex of adolescents with first-episode major depressive disorder and the modulatory effects of repetitive transcranial magnetic stimulation.
PMC12869207,2026 Feb,10.1016/j.jare.2025.04.018,From energy metabolism to mood regulation: The rise of lactate as a therapeutic target.
PMC12830149,2026 Mar,10.1016/j.bbih.2026.101171,A review of neurophysiological relationships between sleep disorders and depression.
PMC12823854,2025,10.3389/fnsys.2025.1713434,Network-based mapping and neurotransmitter architecture of gray matter correlates of neuroticism.
PMC12780845,2026,10.7150/ijbs.123740,Disrupted astrocyte-neuron glutamine-glutamate cycling in the medial prefrontal cortex contributes to depression-like behaviors.
PMC12730062,2025 Dec 6,10.3390/antiox14121464,Chronic Stress and Astrocyte Dysfunction in Depression: Molecular Mechanisms and Gene Expression Changes.
PMC12664560,2025 Oct,10.1016/j.neurot.2025.e00759,Inhibition of microglial glutaminase alleviates chronic stress-induced neurobehavioral and cognitive deficits.
PMC12616132,2025,10.3389/fpsyt.2025.1662051,Association between S-ketamine induced changes in glutamate levels in the pregenual anterior cingulate cortex and plasma brain-derived neurotrophic factor in healthy subjects.
PMC12602369,2025 Dec,10.1038/s41380-025-03227-2,"Neural correlates of peripartum depression: a systematic review, meta-analysis and comparison to major depressive disorder."
PMC12581682,2025 Dec,10.1016/j.dcn.2025.101635,Intergenerational neuroimaging's present and future: Considering sex as a biological variable to enhance knowledge of brain development through parent-offspring similarity.
PMC12578830,2025 Oct 31,10.1038/s41398-025-03654-3,Psychedelics and ketamine/esketamine in depressive disorders: biological mechanisms and associated neuroimaging and clinical changes.
PMC12562320,2025 Oct 14,10.3390/brainsci15101106,Neuroimaging and Machine Learning in OCD: Advances in Diagnostic and Therapeutic Insights.
PMC12535144,2025 Oct 17,10.1186/s12888-025-07393-z,Utilizing resting motor threshold to predict cognitive function in drug-naive patients with major depressive disorder.
PMC12500823,2025 Sep,10.1007/s00406-024-01875-z,Advancing past ketamine: emerging glutamatergic compounds for the treatment of depression.
PMC12471074,2025 Sep 19,10.3390/ijms26189162,Regulation of NR4A2 Gene Expression and Its Importance in Neurodegenerative and Psychiatric Diseases.
PMC12443602,2025 Sep,10.1038/s41591-025-03800-w,Effect of naltrexone pretreatment on ketamine-induced glutamatergic activity and symptoms of depression: a randomized crossover study.
